id,capacity_mw,capacity_log_mw,plant_age,abs_latitude,latitude,longitude,age_x_capacity,fuel_group,primary_fuel,other_fuel1,owner_bucket,capacity_band,lat_band,lon_band,underperforming
27,24.1,3.2228678461377385,27.149377593361123,45.0414,45.0414,-93.7905,87.49885608829594,fossil,Oil,Gas,__OTHER_OWNER__,large,lat_bin_4,lon_bin_6,1
28,4.0,1.6094379124341003,54.5,39.7581,39.7581,-101.5319,87.71436622765846,fossil,Oil,__NONE__,__OTHER_OWNER__,small,lat_bin_4,lon_bin_6,1
29,1.6,0.9555114450274365,11.0,40.5737,40.5737,-74.3944,10.510625895301802,renewable,Solar,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_8,1
30,3.4,1.4816045409242156,19.0,41.6445,41.6445,-95.3153,28.150486277560095,fossil,Oil,__NONE__,__OTHER_OWNER__,small,lat_bin_4,lon_bin_6,1
31,40.0,3.713572066704308,9.0,44.676,44.676,-72.1013,33.42214860033877,renewable,Wind,__NONE__,First Wind O&M  LLC,large,lat_bin_4,lon_bin_8,1
32,20.0,3.044522437723423,18.0,38.275,38.275,-95.6839,54.80140387902161,fossil,Oil,__NONE__,__OTHER_OWNER__,large,lat_bin_3,lon_bin_6,0
33,10.6,2.451005098112319,16.0,40.8359,40.8359,-74.155,39.216081569797105,fossil,Gas,Oil,__OTHER_OWNER__,medium,lat_bin_4,lon_bin_8,0
34,4.0,1.6094379124341003,4.0,42.3913,42.3913,-72.5325,6.437751649736401,renewable,Solar,__NONE__,Consolidated Edison Development Inc.,small,lat_bin_4,lon_bin_8,0
35,2377.8,7.774351437832439,28.871099335519602,28.8419,28.8419,-81.3256,224.4540726309,fossil,Gas,Oil,Florida Power & Light Co,utility,lat_bin_2,lon_bin_7,0
36,3.6,1.5260563034950494,92.0,44.1353,44.1353,-70.2015,140.39717992154453,renewable,Hydro,__NONE__,Brookfield White Pine Hydro LLC,small,lat_bin_4,lon_bin_8,1
37,71.5,4.283586561860629,50.30069930069931,40.9616,40.9616,-72.865,215.46739957666787,fossil,Oil,__NONE__,National Grid Generation LLC,xlarge,lat_bin_4,lon_bin_8,0
38,25.2,3.265759410767051,32.0,44.9108,44.9108,-72.9736,104.50430114454564,renewable,Hydro,__NONE__,__OTHER_OWNER__,large,lat_bin_4,lon_bin_8,1
39,2.0,1.0986122886681096,6.0,35.8233,35.8233,-79.0803,6.591673732008657,renewable,Solar,__NONE__,__OTHER_OWNER__,tiny,lat_bin_3,lon_bin_8,0
40,1.2,0.7884573603642702,4.0,40.1464,40.1464,-105.8683,3.1538294414570807,renewable,Hydro,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_6,0
41,312.4,5.74748032992192,45.060179257362506,61.1861,61.1861,-151.0356,258.98249394444673,fossil,Gas,__NONE__,__OTHER_OWNER__,utility,lat_bin_7,lon_bin_2,1
42,218.6,5.391807709635375,74.57182067703593,37.0131,37.0131,-88.2692,402.07691764798903,renewable,Hydro,__NONE__,Tennessee Valley Authority,utility,lat_bin_3,lon_bin_7,0
43,20.0,3.044522437723423,33.0,43.7155,43.7155,-71.6585,100.46924044487297,other,Waste,Oil,__OTHER_OWNER__,large,lat_bin_4,lon_bin_8,0
44,2.2,1.1631508098056809,6.0,44.3689,44.3689,-73.2471,6.978904858834085,renewable,Solar,__NONE__,__OTHER_OWNER__,small,lat_bin_4,lon_bin_8,0
45,495.0,6.206575926724928,19.0,33.3585,33.3585,-84.9914,117.92494260777363,fossil,Gas,__NONE__,__OTHER_OWNER__,utility,lat_bin_3,lon_bin_7,0
46,48.5,3.9019726695746444,7.0,35.7909,35.7909,-119.2945,27.31380868702251,fossil,Gas,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_3,lon_bin_5,1
47,211.2,5.357529226179882,5.0,32.7,32.7,-101.7411,26.78764613089941,renewable,Wind,__NONE__,__OTHER_OWNER__,utility,lat_bin_3,lon_bin_6,0
48,801.0,6.687108607866515,18.0,26.3403,26.3403,-98.19,120.36795494159726,fossil,Gas,__NONE__,__OTHER_OWNER__,utility,lat_bin_2,lon_bin_6,0
49,2.0,1.0986122886681096,6.0,63.521,63.521,-162.2863,6.591673732008657,fossil,Oil,__NONE__,Alaska Village Elec Coop  Inc,tiny,lat_bin_7,lon_bin_1,0
50,135.0,4.912654885736052,29.0,40.4607,40.4607,-74.3272,142.46699168634552,fossil,Gas,Oil,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_8,1
51,5.0,1.791759469228055,4.0,41.7,41.7,-86.49,7.16703787691222,renewable,Solar,__NONE__,Indiana Michigan Power Co,medium,lat_bin_4,lon_bin_7,0
52,59.900000000000006,4.109233174715851,20.1402337228717,41.8675,41.8675,-87.6524,82.76091656055532,fossil,Gas,Oil,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_7,0
53,265.0,5.583496308781699,8.0,45.7316,45.7316,-120.0835,44.66797047025359,renewable,Wind,__NONE__,__OTHER_OWNER__,utility,lat_bin_5,lon_bin_4,1
54,5.0,1.791759469228055,3.0,44.1361,44.1361,-72.5105,5.375278407684165,renewable,Solar,__NONE__,Green Mountain Power Corp,medium,lat_bin_4,lon_bin_8,1
55,126.6,4.848900370910689,50.09083728278006,39.603,39.603,-84.2047,242.8854794796992,fossil,Gas,Oil,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_7,1
56,23.0,3.1780538303479458,7.0,43.0371,43.0371,-115.4397,22.24637681243562,renewable,Wind,__NONE__,__OTHER_OWNER__,large,lat_bin_4,lon_bin_5,1
57,46.7,3.8649313978942956,50.0,39.239,39.239,-121.2704,193.24656989471478,renewable,Hydro,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_4,0
58,3.5,1.5040773967762742,6.0,34.2489,34.2489,-118.4833,9.024464380657644,renewable,Solar,__NONE__,__OTHER_OWNER__,small,lat_bin_3,lon_bin_5,1
59,860.4000000000001,6.75855897262001,30.724895397489945,33.5239,33.5239,-101.7392,207.65601747151692,fossil,Gas,Oil,__OTHER_OWNER__,utility,lat_bin_3,lon_bin_6,0
60,1.0,0.6931471805599453,40.0,43.8844,43.8844,-75.4306,27.725887222397812,renewable,Hydro,__NONE__,Eagle Creek RE LLC,tiny,lat_bin_4,lon_bin_8,0
61,4.0,1.6094379124341003,14.0,36.7106,36.7106,-99.8906,22.532130774077405,fossil,Oil,__NONE__,__OTHER_OWNER__,small,lat_bin_3,lon_bin_6,0
62,12.3,2.5877640352277083,34.39837398373993,38.2644,38.2644,-94.3444,89.01487506543467,fossil,Oil,Gas,__OTHER_OWNER__,large,lat_bin_3,lon_bin_6,0
63,38.0,3.6635616461296463,13.0,37.805,37.805,-121.6672,47.6263013996854,renewable,Wind,__NONE__,Leeward Asset Management  LLC,large,lat_bin_3,lon_bin_4,0
64,21.0,3.091042453358316,9.0,42.7708,42.7708,-114.9886,27.819382080224845,renewable,Wind,__NONE__,Idaho Wind Partners 1 LLC,large,lat_bin_4,lon_bin_5,0
65,24.0,3.2188758248682006,16.0,39.9109,39.9109,-77.6667,51.50201319789121,fossil,Gas,Oil,__OTHER_OWNER__,large,lat_bin_4,lon_bin_8,1
66,6.8,2.0541237336955462,7.764705882352473,39.485,39.485,-75.215,15.949666638105633,renewable,Solar,__NONE__,GSRP,medium,lat_bin_4,lon_bin_8,0
67,5.0,1.791759469228055,3.0,45.475,45.475,-92.8911,5.375278407684165,renewable,Solar,__NONE__,__OTHER_OWNER__,medium,lat_bin_5,lon_bin_7,0
68,16.0,2.833213344056216,53.450000000000045,44.4821,44.4821,-73.1164,151.4352532398049,fossil,Oil,Hydro,Green Mountain Power Corp,large,lat_bin_4,lon_bin_8,0
69,181.5,5.206750173022546,19.0,39.9528,39.9528,-85.5039,98.92825328742838,fossil,Gas,__NONE__,Duke Energy Indiana  LLC,utility,lat_bin_4,lon_bin_7,0
70,29.5,3.417726683613366,15.0,41.8911,41.8911,-88.2711,51.26590025420049,fossil,Gas,__NONE__,__OTHER_OWNER__,large,lat_bin_4,lon_bin_7,1
71,713.4000000000001,6.571443029562289,55.98261844687431,31.9398,31.9398,-94.9898,367.8865877693574,fossil,Gas,Oil,Luminant Generation Company LLC,utility,lat_bin_2,lon_bin_6,1
72,1.0,0.6931471805599453,63.5,43.6142,43.6142,-75.3327,44.014845965556525,renewable,Hydro,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_8,1
73,25.0,3.258096538021482,26.0,43.2435,43.2435,-116.3791,84.71050998855854,renewable,Hydro,__NONE__,Idaho Power Co,large,lat_bin_4,lon_bin_5,0
74,3.0,1.3862943611198906,6.0,42.1093,42.1093,-72.1705,8.317766166719343,renewable,Solar,__NONE__,__OTHER_OWNER__,small,lat_bin_4,lon_bin_8,0
75,7.6,2.151762203259462,2.18421052631561,42.2686,42.2686,-72.603,4.699901654487386,renewable,Solar,Storage,__OTHER_OWNER__,medium,lat_bin_4,lon_bin_8,1
76,14.5,2.740840023925201,28.0,39.8693,39.8693,-121.6319,76.74352066990562,renewable,Hydro,__NONE__,__OTHER_OWNER__,large,lat_bin_4,lon_bin_4,0
77,2.5,1.252762968495368,4.0,42.2286,42.2286,-73.3445,5.011051873981472,renewable,Solar,__NONE__,Altus Power America Management  LLC,small,lat_bin_4,lon_bin_8,0
78,3.0,1.3862943611198906,7.0,34.6231,34.6231,-117.1125,9.704060527839234,renewable,Wind,__NONE__,__OTHER_OWNER__,small,lat_bin_3,lon_bin_5,1
79,5.0,1.791759469228055,8.0,38.3026,38.3026,-121.2958,14.33407575382444,renewable,Solar,__NONE__,Gamma Genco CV LLC,medium,lat_bin_3,lon_bin_4,0
80,1.6,0.9555114450274365,107.0,46.5392,46.5392,-90.3742,102.2397246179357,renewable,Hydro,__NONE__,Northern States Power Co - Minnesota,tiny,lat_bin_5,lon_bin_7,0
81,1.0,0.6931471805599453,5.0,34.0422,34.0422,-117.3617,3.4657359027997265,renewable,Solar,__NONE__,__OTHER_OWNER__,tiny,lat_bin_3,lon_bin_5,0
82,121.2,4.805659046737495,25.0,40.6417,40.6417,-73.7778,120.14147616843738,fossil,Gas,Oil,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_8,0
83,2.0,1.0986122886681096,6.0,35.1,35.1,-79.73,6.591673732008657,renewable,Solar,__NONE__,Sustainable Power Group  LLC,tiny,lat_bin_3,lon_bin_8,1
84,1.2,0.7884573603642702,7.0,39.4476,39.4476,-76.5163,5.519201522549891,renewable,Solar,__NONE__,Terraform Arcadia,tiny,lat_bin_4,lon_bin_8,1
85,1.0,0.6931471805599453,3.0,45.4455,45.4455,-92.549,2.0794415416798357,renewable,Solar,__NONE__,SoCore Energy LLC,tiny,lat_bin_5,lon_bin_7,1
86,1.7,0.9932517730102834,14.0,43.46,43.46,-116.4725,13.905524822143969,renewable,Hydro,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_5,0
87,105.0,4.663439094112067,7.0,46.98,46.98,-101.5547,32.64407365878447,renewable,Wind,__NONE__,ALLETE  Inc.,xlarge,lat_bin_5,lon_bin_6,1
88,650.0,6.478509642208569,9.0,40.7813,40.7813,-73.8966,58.30658677987712,fossil,Gas,Oil,__OTHER_OWNER__,utility,lat_bin_4,lon_bin_8,0
89,293.5,5.685279003091641,41.66439522998303,41.3917,41.3917,-91.0569,236.87371137753405,fossil,Coal,Oil,__OTHER_OWNER__,utility,lat_bin_4,lon_bin_7,0
90,147.0,4.997212273764115,14.724489795918316,35.5094,35.5094,-98.7346,73.58140113307748,renewable,Wind,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_3,lon_bin_6,0
91,1.2,0.7884573603642702,33.0,34.2619,34.2619,-118.6242,26.019092892020915,renewable,Hydro,__NONE__,__OTHER_OWNER__,tiny,lat_bin_3,lon_bin_5,0
92,10.0,2.3978952727983707,2.0,33.1611,33.1611,-96.2397,4.795790545596741,renewable,Solar,__NONE__,Cypress Creek Renewables,medium,lat_bin_3,lon_bin_6,1
93,78.0,4.3694478524670215,10.0,38.6972,38.6972,-90.1283,43.69447852467022,other,Other,Gas,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_7,1
94,20.0,3.044522437723423,5.0,33.7389,33.7389,-101.485,15.222612188617115,renewable,Wind,__NONE__,__OTHER_OWNER__,large,lat_bin_3,lon_bin_6,1
95,3.3,1.4586150226995167,34.0,45.4807,45.4807,-121.5998,49.592910771783565,renewable,Hydro,__NONE__,__OTHER_OWNER__,small,lat_bin_5,lon_bin_4,0
96,4.1,1.62924053973028,7.0,40.9242,40.9242,-74.4947,11.404683778111961,renewable,Solar,__NONE__,__OTHER_OWNER__,small,lat_bin_4,lon_bin_8,0
97,422.0,6.0473721790462776,36.6327014218009,37.6197,37.6197,-88.9531,221.5315794215078,fossil,Coal,Petcoke,__OTHER_OWNER__,utility,lat_bin_3,lon_bin_7,0
98,1.0,0.6931471805599453,7.0,38.2725,38.2725,-108.7856,4.852030263919617,renewable,Solar,__NONE__,__OTHER_OWNER__,tiny,lat_bin_3,lon_bin_5,0
99,5.4,1.8562979903656263,15.740740740740875,43.575,43.575,-94.4467,29.219505403903625,renewable,Wind,__NONE__,__OTHER_OWNER__,medium,lat_bin_4,lon_bin_6,0
100,110.0,4.709530201312334,91.5,37.2001,37.2001,-119.3068,430.92201342007854,renewable,Hydro,__NONE__,Southern California Edison Co,xlarge,lat_bin_3,lon_bin_5,0
101,150.0,5.017279836814924,11.0,42.1044,42.1044,-93.2722,55.190078204964166,renewable,Wind,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_7,0
102,921.6,6.82719577112372,17.0,39.5333,39.5333,-81.7178,116.06232810910325,fossil,Gas,__NONE__,__OTHER_OWNER__,utility,lat_bin_4,lon_bin_7,0
103,2.0,1.0986122886681096,7.0,44.1394,44.1394,-73.2039,7.690286020676767,renewable,Solar,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_8,0
104,64.0,4.174387269895637,53.0,40.6084,40.6084,-75.456,221.24252530446876,fossil,Oil,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_8,0
105,1.2,0.7884573603642702,12.583333333333258,59.7474,59.7474,-161.9106,9.921421784583673,fossil,Oil,__NONE__,Alaska Village Elec Coop  Inc,tiny,lat_bin_7,lon_bin_1,0
106,162.0,5.093750200806762,16.90000000000009,38.1381,38.1381,-121.8053,86.08437839363475,renewable,Wind,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_3,lon_bin_4,0
107,5.0,1.791759469228055,6.0,41.955,41.955,-72.4458,10.75055681536833,renewable,Solar,__NONE__,Dominion Renewable Energy,medium,lat_bin_4,lon_bin_8,0
108,16.0,2.833213344056216,7.0,31.1839,31.1839,-84.1319,19.832493408393514,renewable,Solar,__NONE__,__OTHER_OWNER__,large,lat_bin_2,lon_bin_7,1
109,2.0,1.0986122886681096,15.0,43.6371,43.6371,-95.9328,16.479184330021642,fossil,Oil,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_6,0
110,16.8,2.8791984572980396,116.00000000000045,33.9684,33.9684,-84.3827,333.9870210465739,renewable,Hydro,__NONE__,Georgia Power Co,large,lat_bin_3,lon_bin_7,1
111,7.800000000000001,2.174751721484161,93.00000000000045,45.5136,45.5136,-87.8011,202.25191009802796,renewable,Hydro,__NONE__,Wisconsin Electric Power Co,medium,lat_bin_5,lon_bin_7,0
112,15.0,2.772588722239781,65.0,43.9242,43.9242,-122.8055,180.21826694558578,renewable,Hydro,__NONE__,USACE Northwestern Division,large,lat_bin_4,lon_bin_4,0
113,99.0,4.605170185988092,10.0,40.6431,40.6431,-87.0242,46.05170185988092,renewable,Wind,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_7,0
114,90.0,4.51085950651685,17.0,44.2858,44.2858,-105.3833,76.68461161078645,fossil,Coal,Gas,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_6,0
115,9.1,2.312535423847214,48.384615384615245,39.1194,39.1194,-97.7086,111.89113704614563,fossil,Gas,Oil,__OTHER_OWNER__,medium,lat_bin_4,lon_bin_6,1
116,23.5,3.1986731175506815,34.90212765957449,37.9231,37.9231,-95.4256,111.640497490003,fossil,Oil,Gas,__OTHER_OWNER__,large,lat_bin_3,lon_bin_6,0
117,135.4,4.915591745409362,7.0,34.29,34.29,-99.3647,34.409142217865536,renewable,Wind,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_3,lon_bin_6,0
118,1492.5,7.308877637656164,13.716180904522844,27.7286,27.7286,-81.9897,100.24988788711352,fossil,Gas,Coal,__OTHER_OWNER__,utility,lat_bin_2,lon_bin_7,0
119,5.0,1.791759469228055,4.0,35.0583,35.0583,-77.8536,7.16703787691222,renewable,Solar,__NONE__,__OTHER_OWNER__,medium,lat_bin_3,lon_bin_8,0
120,1.7,0.9932517730102834,4.0,41.373,41.373,-94.754,3.973007092041134,renewable,Wind,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_6,0
121,39.3,3.696351468952637,44.961832061068435,41.4718,41.4718,-84.5431,166.19473398573209,fossil,Gas,Oil,__OTHER_OWNER__,large,lat_bin_4,lon_bin_7,1
122,3.8,1.5686159179138452,18.0,43.5564,43.5564,-96.3036,28.235086522449215,renewable,Wind,__NONE__,__OTHER_OWNER__,small,lat_bin_4,lon_bin_6,0
123,9.9,2.388762789235098,19.0,40.8592,40.8592,-75.2627,45.38649299546686,other,Waste,__NONE__,__OTHER_OWNER__,medium,lat_bin_4,lon_bin_8,1
124,12.5,2.6026896854443837,12.0,37.1067,37.1067,-120.2485,31.232276225332605,other,Waste,__NONE__,__OTHER_OWNER__,large,lat_bin_3,lon_bin_4,0
125,79.2,4.384523514872469,2.0,32.8763,32.8763,-85.3882,8.769047029744938,renewable,Solar,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_3,lon_bin_7,1
126,47.0,3.8712010109078907,17.0,38.2268,38.2268,-121.8433,65.81041718543415,fossil,Gas,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_3,lon_bin_4,1
127,47.3,3.877431560658527,2.0,35.2658,35.2658,-117.9992,7.754863121317054,renewable,Solar,__NONE__,CD Global Solar Holdings  LLC,xlarge,lat_bin_3,lon_bin_5,0
128,51.5,3.960813169597578,50.20388349514565,42.5267,42.5267,-92.4394,198.84820291251538,fossil,Gas,Coal,__OTHER_OWNER__,xlarge,lat_bin_4,lon_bin_7,1
129,2.0,1.0986122886681096,7.0,42.585,42.585,-72.2939,7.690286020676767,renewable,Solar,__NONE__,Terraform Arcadia,tiny,lat_bin_4,lon_bin_8,1
130,4.2,1.6486586255873816,20.0,41.9084,41.9084,-89.0466,32.973172511747634,fossil,Gas,__NONE__,__OTHER_OWNER__,small,lat_bin_4,lon_bin_7,1
131,226.8,5.428468051013081,47.0,27.7581,27.7581,-82.6353,255.13799839761484,fossil,Oil,__NONE__,Duke Energy Florida  LLC,utility,lat_bin_2,lon_bin_7,0
132,70.0,4.2626798770413155,26.0,46.4661,46.4661,-122.1097,110.82967680307421,renewable,Hydro,__NONE__,__OTHER_OWNER__,xlarge,lat_bin_5,lon_bin_4,0
133,1.0,0.6931471805599453,5.0,42.2073,42.2073,-70.9978,3.4657359027997265,renewable,Solar,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_8,0
134,2.5,1.252762968495368,82.0,42.667,42.667,-114.7801,102.72656341662018,renewable,Hydro,__NONE__,Idaho Power Co,small,lat_bin_4,lon_bin_5,0
135,3.0,1.3862943611198906,18.0,34.6584,34.6584,-112.4008,24.95329850015803,renewable,Solar,__NONE__,Arizona Public Service Co,small,lat_bin_3,lon_bin_5,0
136,2.0,1.0986122886681096,16.0,43.6514,43.6514,-95.3686,17.577796618689753,renewable,Wind,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_6,1
137,1.5,0.9162907318741551,9.0,43.3858,43.3858,-92.7594,8.246616586867397,renewable,Wind,__NONE__,__OTHER_OWNER__,tiny,lat_bin_4,lon_bin_7,0
138,163.0,5.099866427824199,49.48711656441765,34.5875,34.5875,-78.9755,252.37768437669635,fossil,Oil,__NONE__,Duke Energy Progress - (NC),xlarge,lat_bin_3,lon_bin_8,1
139,1.5,0.9162907318741551,78.0,46.5565,46.5565,-68.3255,71.4706770861841,renewable,Hydro,__NONE__,__OTHER_OWNER__,tiny,lat_bin_5,lon_bin_8,1
140,1.5,0.9162907318741551,7.0,34.7089,34.7089,-118.2742,6.414035123119086,renewable,Solar,__NONE__,CD US Solar MT 2 LLC,tiny,lat_bin_3,lon_bin_5,0
141,1352.0,7.210079628170788,4.0,26.0856,26.0856,-80.1253,28.84031851268315,fossil,Gas,Oil,Florida Power & Light Co,utility,lat_bin_2,lon_bin_8,0
142,3.0,1.3862943611198906,80.0,43.4684,43.4684,-112.0626,110.90354888959125,renewable,Hydro,__NONE__,__OTHER_OWNER__,small,lat_bin_4,lon_bin_5,0
143,1883.2000000000005,7.5412586066145675,52.49702633814809,40.6604,40.6604,-79.3411,395.8936516942309,fossil,Coal,Oil,__OTHER_OWNER__,utility,lat_bin_4,lon_bin_8,0
144,9.9,2.388762789235098,11.0,45.7122,45.7122,-119.4044,26.27639068158608,renewable,Wind,__NONE__,__OTHER_OWNER__,medium,lat_bin_5,lon_bin_5,0
145,811.8,6.700485076824218,48.0,42.323,42.323,-86.3146,321.62328368756243,other,Nuclear,__NONE__,__OTHER_OWNER__,utility,lat_bin_4,lon_bin_7,0
146,23.4,3.1945831322991562,80.01709401709354,39.7631,39.7631,-86.1667,255.62125884260277,fossil,Gas,Oil,__OTHER_OWNER__,large,lat_bin_4,lon_bin_7,0
147,317.4,5.763308453970228,19.0,30.5254,30.5254,-88.1285,109.50286062543434,fossil,Gas,__NONE__,Alabama Power Co,utility,lat_bin_2,lon_bin_7,0
148,1.7,0.9932517730102834,30.294117647059238,33.8111,33.8111,-84.3928,30.089686064723704,fossil,Oil,__NONE__,__OTHER_OWNER__,tiny,lat_bin_3,lon_bin_7,1
149,14.5,2.740840023925201,95.28965517241363,47.7033,47.7033,-116.9539,261.1737007625823,renewable,Hydro,__NONE__,Avista Corp,large,lat_bin_5,lon_bin_5,0
150,450.0,6.111467339502679,33.0,29.3787,29.3787,-94.9438,201.67842220358838,fossil,Gas,__NONE__,__OTHER_OWNER__,utility,lat_bin_2,lon_bin_6,0
151,76.2,4.3463994570307305,17.0,41.7194,41.7194,-89.0492,73.88879076952242,renewable,Wind,__NONE__,Leeward Asset Management  LLC,xlarge,lat_bin_4,lon_bin_7,0
152,13.5,2.6741486494265287,52.0,39.7667,39.7667,-84.1739,139.05572977017948,fossil,Oil,__NONE__,__OTHER_OWNER__,large,lat_bin_4,lon_bin_7,0
